Duration,"Engine Speed (RPM)","Vehicle Speed (Mph)",Gear,"Manifold Pressure (mbar)","Boost (psi)","Throttle Position (%)","Injector Duration (ms)","Duty Cycle (%)","Ignition Advance","Knock Retard","Air Temperature (F)","Coolant Temperature (F)","O2 Voltage",Lambda,"Air Fuel Ratio",VTEC,CEL
"72:4354:31.644",1075,"0.0",0,0,"0.0","0","2.38","2","21.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.660",1075,"0.0",0,0,"0.0","0","2.38","2","21.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.707",1078,"0.0",0,0,"0.0","0","2.37","2","21.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.738",1065,"0.0",0,0,"0.0","0","2.41","2","21.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.769",1065,"0.0",0,0,"0.0","0","2.40","2","21.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.800",1065,"0.0",0,0,"0.0","0","2.32","2","21.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.832",1061,"0.0",0,0,"0.0","0","2.40","2","21.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.863",1062,"0.0",0,0,"0.0","0","2.39","2","21.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.894",1061,"0.0",0,0,"0.0","0","2.32","2","21.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.925",1064,"0.0",0,0,"0.0","0","2.30","2","21.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.956",1060,"0.0",0,0,"0.0","0","2.32","2","21.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.988",1061,"0.0",0,0,"0.0","0","2.31","2","21.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.019",1060,"0.0",0,0,"0.0","0","2.30","2","21.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.050",1061,"0.0",0,0,"0.0","0","2.36","2","20.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.097",1042,"0.0",0,0,"0.0","0","2.35","2","20.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.128",1039,"0.0",0,0,"0.0","0","2.37","2","20.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.159",1042,"0.0",0,0,"0.0","0","2.34","2","20.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.175",1039,"0.0",0,0,"0.0","0","2.34","2","20.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.222",1038,"0.0",0,0,"0.0","0","2.32","2","20.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.253",1036,"0.0",0,0,"0.0","0","2.32","2","20.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.284",1036,"0.0",0,0,"0.0","0","2.31","2","20.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.315",1026,"0.0",0,0,"0.0","0","2.34","2","20.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.346",1024,"0.0",0,0,"0.0","0","2.34","2","20.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.378",1020,"0.0",0,0,"0.0","0","2.33","2","20.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.409",1012,"0.0",0,0,"0.0","0","2.35","2","19.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.440",1010,"0.0",0,0,"0.0","0","2.34","2","19.75","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:32.471",1009,"0.0",0,0,"0.0","0","2.34","2","19.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.502",1009,"0.0",0,0,"0.0","0","2.32","2","19.75","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:32.534",993,"0.0",0,0,"0.0","0","2.37","2","19.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.565",995,"0.0",0,0,"0.0","0","2.34","2","19.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.612",993,"0.0",0,0,"0.0","0","2.34","2","19.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.643",994,"0.0",0,0,"0.0","0","2.40","2","19.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.674",985,"0.0",0,0,"0.0","0","2.36","2","19.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.690",983,"0.0",0,0,"0.0","0","2.42","2","19.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:32.736",982,"0.0",0,0,"0.0","0","2.39","2","19.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.768",981,"0.0",0,0,"0.0","0","2.45","2","18.75","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:32.799",968,"0.0",0,0,"0.0","0","2.42","2","18.75","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:32.830",969,"0.0",0,0,"0.0","0","2.42","2","18.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.861",966,"0.0",0,0,"0.0","0","2.39","2","18.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.892",969,"0.0",0,0,"0.0","0","2.40","2","18.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.924",965,"0.0",0,0,"0.0","0","2.38","2","18.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.955",965,"0.0",0,0,"0.0","0","2.37","2","18.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:32.986",966,"0.0",0,0,"0.0","0","2.36","2","18.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.017",958,"0.0",0,0,"0.0","0","2.38","2","18.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:33.048",954,"0.0",0,0,"0.0","0","2.39","2","18.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.080",954,"0.0",0,0,"0.0","0","2.37","2","18.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.126",956,"0.0",0,0,"0.0","0","2.35","2","18.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.158",946,"0.0",0,0,"0.0","0","2.39","2","18.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.189",945,"0.0",0,0,"0.0","0","2.38","2","18.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.204",946,"0.0",0,0,"0.0","0","2.37","2","18.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.251",945,"0.0",0,0,"0.0","0","2.36","2","18.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.282",937,"0.0",0,0,"0.0","0","2.40","2","18.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:33.314",937,"0.0",0,0,"0.0","0","2.39","2","18.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.345",935,"0.0",0,0,"0.0","0","2.39","2","18.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.376",937,"0.0",0,0,"0.0","0","2.36","2","18.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.407",934,"0.0",0,0,"0.0","0","2.36","2","18.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.438",931,"0.0",0,0,"0.0","0","2.37","2","17.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.470",930,"0.0",0,0,"0.0","0","2.37","2","17.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.501",930,"0.0",0,0,"0.0","0","2.36","2","17.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.532",921,"0.0",0,0,"0.0","0","2.39","2","17.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.563",920,"0.0",0,0,"0.0","0","2.38","2","17.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:33.594",919,"0.0",0,0,"0.0","0","2.37","2","17.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.641",917,"0.0",0,0,"0.0","0","2.37","2","17.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.672",914,"0.0",0,0,"0.0","0","2.37","2","17.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.704",911,"0.0",0,0,"0.0","0","2.37","2","17.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.719",911,"0.0",0,0,"0.0","0","2.36","2","17.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.766",911,"0.0",0,0,"0.0","0","2.35","2","17.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.797",911,"0.0",0,0,"0.0","0","2.39","2","17.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.828",901,"0.0",0,0,"0.0","0","2.38","2","17.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.860",900,"0.0",0,0,"0.0","0","2.37","2","17.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.891",899,"0.0",0,0,"0.0","0","2.36","2","17.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.922",900,"0.0",0,0,"0.0","0","2.38","2","16.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.953",894,"0.0",0,0,"0.0","0","2.36","2","17.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:33.984",895,"0.0",0,0,"0.0","0","2.36","2","16.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.016",894,"0.0",0,0,"0.0","0","2.34","2","17.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.047",895,"0.0",0,0,"0.0","0","2.34","2","16.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.078",889,"0.0",0,0,"0.0","0","2.37","2","16.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.109",886,"0.0",0,0,"0.0","0","2.37","2","16.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.156",884,"0.0",0,0,"0.0","0","2.37","2","16.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:34.187",885,"0.0",0,0,"0.0","0","2.35","2","16.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.203",879,"0.0",0,0,"0.0","0","2.37","2","16.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.234",876,"0.0",0,0,"0.0","0","2.37","2","16.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:34.281",874,"0.0",0,0,"0.0","0","2.36","2","16.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.312",871,"0.0",0,0,"0.0","0","2.37","2","16.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.343",858,"0.0",0,0,"0.0","0","2.43","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.374",858,"0.0",0,0,"0.0","0","2.47","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.406",856,"0.0",0,0,"0.0","0","2.46","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.437",856,"0.0",0,0,"0.0","0","2.42","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.468",858,"0.0",0,0,"0.0","0","2.42","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.499",856,"0.0",0,0,"0.0","0","2.43","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:34.530",857,"0.0",0,0,"0.0","0","2.41","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.562",857,"0.0",0,0,"0.0","0","2.40","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.593",861,"0.0",0,0,"0.0","0","2.37","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.624",854,"0.0",0,0,"0.0","0","2.41","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.671",856,"0.0",0,0,"0.0","0","2.39","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.702",858,"0.0",0,0,"0.0","0","2.37","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.718",861,"0.0",0,0,"0.0","0","2.36","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.749",861,"0.0",0,0,"0.0","0","2.43","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.796",848,"0.0",0,0,"0.0","0","2.41","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.827",848,"0.0",0,0,"0.0","0","2.40","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.858",848,"0.0",0,0,"0.0","0","2.40","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.889",848,"0.0",0,0,"0.0","0","2.39","2","15.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:34.920",844,"0.0",0,0,"0.0","0","2.40","2","15.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:34.952",844,"0.0",0,0,"0.0","0","2.40","2","15.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:34.983",843,"0.0",0,0,"0.0","0","2.40","2","15.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.014",842,"0.0",0,0,"0.0","0","2.40","2","15.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.045",832,"0.0",0,0,"0.0","0","2.43","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.076",830,"0.0",0,0,"0.0","0","2.43","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:35.108",830,"0.0",0,0,"0.0","0","2.41","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.139",831,"0.0",0,0,"0.0","0","2.41","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.186",836,"0.0",0,0,"0.0","0","2.39","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.201",832,"0.0",0,0,"0.0","0","2.39","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.232",833,"0.0",0,0,"0.0","0","2.38","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.264",834,"0.0",0,0,"0.0","0","2.37","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.310",835,"0.0",0,0,"0.0","0","2.36","2","15.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.342",832,"0.0",0,0,"0.0","0","2.39","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.373",834,"0.0",0,0,"0.0","0","2.43","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.404",834,"0.0",0,0,"0.0","0","2.36","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.435",834,"0.0",0,0,"0.0","0","2.40","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.466",837,"0.0",0,0,"0.0","0","2.40","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.498",825,"0.0",0,0,"0.0","0","2.40","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.529",825,"0.0",0,0,"0.0","0","2.39","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.560",827,"0.0",0,0,"0.0","0","2.44","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.591",830,"0.0",0,0,"0.0","0","2.40","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:35.622",826,"0.0",0,0,"0.0","0","2.36","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:35.654",827,"0.0",0,0,"0.0","0","2.42","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.700",830,"0.0",0,0,"0.0","0","2.40","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:35.716",830,"0.0",0,0,"0.0","0","2.39","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.747",832,"0.0",0,0,"0.0","0","2.39","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:35.778",825,"0.0",0,0,"0.0","0","2.43","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.825",827,"0.0",0,0,"0.0","0","2.42","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.856",828,"0.0",0,0,"0.0","0","2.41","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.888",831,"0.0",0,0,"0.0","0","2.33","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.919",828,"0.0",0,0,"0.0","0","2.40","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:35.950",830,"0.0",0,0,"0.0","0","2.39","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:35.981",832,"0.0",0,0,"0.0","0","2.39","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.012",832,"0.0",0,0,"0.0","0","2.32","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.044",834,"0.0",0,0,"0.0","0","2.32","2","16.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:36.075",828,"0.0",0,0,"0.0","0","2.38","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.106",829,"0.0",0,0,"0.0","0","2.37","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.137",830,"0.0",0,0,"0.0","0","2.34","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.168",832,"0.0",0,0,"0.0","0","2.33","2","15.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.215",825,"0.0",0,0,"0.0","0","2.38","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.231",825,"0.0",0,0,"0.0","0","2.43","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.262",825,"0.0",0,0,"0.0","0","2.41","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.293",827,"0.0",0,0,"0.0","0","2.34","2","16.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.340",829,"0.0",0,0,"0.0","0","2.41","2","16.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.371",815,"0.0",0,0,"0.0","0","2.41","2","16.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:36.402",820,"0.0",0,0,"0.0","0","2.43","2","16.25","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
